"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"ELECTRET";"9.7ELECTRET";"Q1";"Electret microphone";"";
"3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3";"LED";"";
"2";"";"SMD2";"SMD1,27-2,54";"PAD1, PAD2";"SMD PAD";"";
"4";".1uF";"C-USC0603";"C0603";"C5, C6, C7, C10";"CAPACITOR, American symbol";"";
"4";"100K";"R-US_R0603";"R0603";"R7, R8, R9, R10";"RESISTOR, American symbol";"";
"2";"100pF";"C-USC0603";"C0603";"C1, C3";"CAPACITOR, American symbol";"";
"1";"1050170001";"1050170001";"MOLEX_1050170001";"J4";"Conn.; Data; USB; Recept.; Micro; B Type; Bottom Mount, SMT, with Solder Tabs, Lead-Free";"";
"1";"10K";"R-US_R0603";"R0603";"R12";"RESISTOR, American symbol";"";
"1";"10pF";"C-USC0603";"C0603";"C2";"CAPACITOR, American symbol";"";
"5";"1K";"R-US_R0603";"R0603";"R3, R4, R6, R13, R15";"RESISTOR, American symbol";"";
"3";"1M";"R-US_R0603";"R0603";"R1, R2, R11";"RESISTOR, American symbol";"";
"1";"1uF";"C-USC0603";"C0603";"C4";"CAPACITOR, American symbol";"";
"1";"1uH";"L-USL2012C";"L2012C";"L2";"INDUCTOR, American symbol";"";
"1";"22k";"R-US_R0603";"R0603";"R5";"RESISTOR, American symbol";"";
"2";"4.7uF";"C-USC0603";"C0603";"C8, C9";"CAPACITOR, American symbol";"";
"3";"470";"R-US_R0603";"R0603";"R14, R16, R17";"RESISTOR, American symbol";"";
"1";"470nH";"L-USL2012C";"L2012C";"L1";"INDUCTOR, American symbol";"";
"1";"47uF";"C-USC0805";"C0805";"C8/TANT";"CAPACITOR, American symbol";"";
"1";"503182-1852";"503182-1852";"MOLEX_503182-1852";"J2";"Conn Micro SD Card M 8 POS 1.09mm Solder RA SMD Embossed T/R 0.5A/Contact";"";
"1";"LS12T2-T";"LS12T2-T";"LS12T2-T";"U$3";"";"";
"1";"MCP1703CB";"MCP1703CB";"SOT23";"IC1";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";
"1";"MCP73831/OT";"MCP73831/OT";"SOT23-5L";"IC2";"MCP73831/2";"";
"1";"PIC32MX274F256B";"PIC32MX274F256B";"QFN28-ML_6X6MM";"U$2";"";"";
"1";"PIC_ICSP_MINI_5_PIN";"PIC_ICSP_MINI_5_PIN";"PIC_ICSP_MINI_5_PIN";"J1";"PIC-ICSP-Mini";"";
"1";"SIT1532AC-J5-DCC";"SIT1532AC-J5-DCC";"4-UFBGA";"U$1";"";"";
"1";"TC33X-2-104E (100K)";"TRIMPOTTC33X-2";"TRIMPOT_BOURNS_TC33X-2";"VR1";"3-Pin SMT Trimpots";"";
"3";"TPTP10R";"TPTP10R";"TP10R";"TP1, TP2, TP3";"Test pad";"";
"1";"XC6204B332MR-SOT23-5";"MAX4466";"SOT-23-5";"U1";"310030046";"";
